697	PB
708	PB
716	PB
712	PB
743	PB
803	PB
827	TB
826	PB
831	PB
794	PB
839	PB
838	PB
836	PB
853	PB
866	PB
969	PB
930	PB
880	PB
881	PB
867	PB
868	PB
1027	PB
1050	PB
1057	PB
1059	PB
1049	PB
1037	PB
1045	PB
873	PB-TF
1075	PB
1083	PB
1086	PB
1098	PB
1119	PB
1125	PB
1105	PB
1112	PB
1135	PB
1156	PB
1158	PB
1172	PB
1169	PB
1176	PB
1206	PB
1222	PB
1178	PB
1242	PB
1210	PB
1273	PB
1339	PB
1344	PB
1351	PB
1307	PB
1360	PB
1366	PB
1399	PB
1404	PB
1418	PB
1374	PB
1375	PB
1415	PB
1357	PB
1387	PB
1476	PB
1471	PB
1423	PB
1353	PB
1451	PB
1510	PB
1512	PB
1479	PB
1515	PB
1517	PB
1403	PB
1548	PB
887	PB
1555	PB
1559	PB
1537	PB
1562	PB
1563	PB
1581	PB
1572	PB
1590	PB
1599	PB
1594	PB
1617	PB
1624	PB
1601	PB
1643	PB
1652	PB
1662	PB
1657	PB
1677	PB
1696	PB
1675	PB
1687	PB
1726	PB
1746	PB
1747	PB
1758	PB
1661	PB
1717	PB
1763	PB
1714	PB
1782	PB
1787	PB
1824	PB
1829	PB
1836	PB
1750	PB
1905	PB
1888	PB
1918	PB
1919	PB
1863	PB
1734	PB
1686	PB
1903	PB
1694	PB
1840	PB
1906	PB
1867	PB
1711	PB
1929	PB
2011	PB
2025	PB
2063	PB
1770	PB
