691	223|N|
697	264|
704	N|
708	264|
716	303|
729	N|264|
712	549|197|
743	264|
785	N|N|
803	648|
827	245|
826	646|262|
831	649|
832	224|261|646|262|
794	451|
788	N|
839	599|
838	621|
836	429|599|
853	195|
866	264|
969	366|
975	N|N|304|224|N|N|N|N|N|233|N|255|N|N|
857	N|297|N|
930	64|
880	195|
881	264|
867	193|
868	101|
1027	294|
1050	234|
1057	69|
1059	264|
1049	595|620|
1037	514|
1045	475|465|
873	245|64|
1075	64|
1083	292|296|
1086	296|
1098	419|336|321|
1119	64|
1118	N|175|24|177|176|28|
1125	570|
1105	297|
1112	264|
1135	294|
1156	621|
1158	525|
1172	297|
1169	503|
1148	294|503|649|438|299|621|214|296|262|
1176	64|
1206	294|
1222	197|
1178	20|235|228|
1242	183|180|184|
1210	426|
1258	11|257|193|308|15|
1260	105|106|103|102|
1273	18|
1339	76|
1344	528|
1351	177|531|
1307	102|
1360	304|
1366	33|
879	100|248|N|246|N|N|105|72|543|N|111|104|N|247|101|108|N|243|112|106|N|103|N|197|64|249|N|99|N|N|244|245|65|102|
1399	18|365|
1404	391|
1418	64|
1374	422|
1375	422|
1415	13|
1409	47|53|18|57|33|
1357	234|264|
1387	264|
1476	422|
1471	422|
1423	64|
1353	553|
1421	20|22|18|35|33|451|
1451	264|
1510	381|259|
1512	105|
1479	165|
1515	177|
1517	235|234|
1331	N|106|N|136|140|120|138|N|111|N|N|119|N|101|137|
1525	30|18|57|26|
1403	102|
1406	107|149|158|102|148|
1536	59|18|31|33|
1534	106|N|103|139|140|N|120|N|105|107|138|111|N|101|102|108|N|137|
1535	105|N|
1548	22|
887	138|140|
1555	458|457|462|
1559	553|
1537	65|64|174|
1562	182|200|
1563	64|
1581	294|
1582	292|283|284|13|296|
1572	64|
1585	223|222|224|262|
1590	59|52|18|
1599	599|
1594	321|
1617	234|
1624	360|
1601	102|
1643	422|
1652	361|18|
1662	292|
1657	257|
1667	590|595|553|592|
1677	264|
1696	17|32|
1675	76|26|
1719	17|18|78|71|
1718	641|570|599|598|
1687	234|
1690	17|18|33|26|
1726	26|
1691	N|52|18|
1746	30|18|33|
1747	18|
1758	264|
1661	18|
1717	266|264|
1763	580|
1684	224|261|177|262|
1714	294|
1782	65|64|387|
1787	294|264|
1824	264|
1735	30|34|59|N|17|18|35|32|49|
1829	65|64|
1655	N|N|N|N|264|N|N|N|N|260|259|N|266|
1836	214|
1837	138|106|111|103|N|140|101|108|102|
1750	103|110|102|
1852	N|26|
1905	177|
1888	297|
1918	264|
1919	189|177|237|
1863	419|
1734	493|
1686	374|
1903	304|
1694	72|74|
1840	294|297|
1906	102|
1867	102|
1927	527|543|545|544|177|197|
1711	72|
1929	595|
2011	264|
2025	264|
2063	72|65|64|
1770	451|
2158	N|
